frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf,kp17_x,kp17_y,kp17_z,kp17_conf,kp18_x,kp18_y,kp18_z,kp18_conf,kp19_x,kp19_y,kp19_z,kp19_conf,kp20_x,kp20_y,kp20_z,kp20_conf,kp21_x,kp21_y,kp21_z,kp21_conf,kp22_x,kp22_y,kp22_z,kp22_conf,kp23_x,kp23_y,kp23_z,kp23_conf,kp24_x,kp24_y,kp24_z,kp24_conf,kp25_x,kp25_y,kp25_z,kp25_conf,kp26_x,kp26_y,kp26_z,kp26_conf,kp27_x,kp27_y,kp27_z,kp27_conf,kp28_x,kp28_y,kp28_z,kp28_conf,kp29_x,kp29_y,kp29_z,kp29_conf,kp30_x,kp30_y,kp30_z,kp30_conf,kp31_x,kp31_y,kp31_z,kp31_conf,kp32_x,kp32_y,kp32_z,kp32_conf
0,0.17412,0.41792,-0.01397,1.0,0.16294,0.38583,-0.05052,1.0,0.16437,0.38156,-0.0506,1.0,0.16577,0.3767,-0.05063,1.0,0.16223,0.38602,0.00206,1.0,0.16311,0.38217,0.00213,1.0,0.16402,0.37747,0.00218,1.0,0.1857,0.34915,-0.12754,1.0,0.18384,0.34564,0.10128,1.0,0.19648,0.42337,-0.03528,1.0,0.19669,0.4227,0.03233,1.0,0.288,0.43453,-0.2375,1.0,0.30534,0.35813,0.26715,0.998,0.31914,0.72421,-0.2724,0.988,0.33566,0.62208,0.29461,0.253,0.29704,0.98598,-0.23702,0.981,0.32238,0.80924,0.21027,0.286,0.27387,1.01596,-0.30399,0.973,0.3008,0.81029,0.23128,0.28,0.263,0.99753,-0.24577,0.969,0.2931,0.82236,0.16598,0.283,0.27175,0.98822,-0.21631,0.957,0.30077,0.83237,0.18184,0.313,0.57266,0.44707,-0.14864,0.999,0.56824,0.40565,0.1488,0.996,0.76919,0.62376,-0.09419,0.959,0.76456,0.59525,0.19137,0.182,0.94982,0.7974,-0.0395,0.967,0.93271,0.75629,0.27741,0.495,0.98676,0.80213,-0.04044,0.973,0.96716,0.76067,0.28401,0.724,0.90898,0.92707,-0.14537,0.935,0.89562,0.88963,0.19806,0.688
1,0.17428,0.41754,-0.03668,1.0,0.16393,0.38566,-0.0721,1.0,0.16528,0.38149,-0.07217,1.0,0.16663,0.37668,-0.07219,1.0,0.16319,0.38569,-0.01842,1.0,0.16399,0.38187,-0.01836,1.0,0.16484,0.37717,-0.01832,1.0,0.18616,0.34915,-0.14372,1.0,0.18424,0.34552,0.09048,1.0,0.19647,0.42293,-0.05649,1.0,0.19657,0.42219,0.01264,1.0,0.28879,0.43607,-0.26549,1.0,0.30705,0.35654,0.26607,0.999,0.31979,0.72693,-0.30838,0.989,0.33609,0.61952,0.27756,0.251,0.29293,0.98598,-0.2593,0.981,0.32176,0.79257,0.16402,0.282,0.26708,1.0159,-0.33012,0.973,0.30001,0.79785,0.17767,0.276,0.25675,0.99816,-0.27466,0.969,0.29277,0.8053,0.11474,0.279,0.26637,0.9894,-0.23958,0.957,0.29983,0.81637,0.13545,0.308,0.57311,0.44804,-0.15546,0.999,0.56881,0.40565,0.15563,0.996,0.76846,0.62297,-0.10535,0.959,0.76398,0.59358,0.19687,0.184,0.94983,0.79405,-0.03948,0.966,0.93323,0.75611,0.29197,0.497,0.98653,0.79638,-0.04029,0.973,0.96738,0.76,0.29865,0.725,0.90994,0.92628,-0.14679,0.934,0.89779,0.88962,0.20725,0.689
2,0.17422,0.41714,-0.04345,1.0,0.164,0.38539,-0.07923,1.0,0.16534,0.38138,-0.0793,1.0,0.16671,0.37667,-0.07932,1.0,0.16325,0.38514,-0.02542,1.0,0.16404,0.38135,-0.02536,1.0,0.1649,0.37667,-0.02532,1.0,0.18624,0.34931,-0.15101,1.0,0.18435,0.34549,0.08417,1.0,0.19617,0.42269,-0.06321,1.0,0.19594,0.4218,0.00609,1.0,0.28969,0.43739,-0.27421,1.0,0.30773,0.3554,0.26517,0.999,0.32028,0.72939,-0.31691,0.989,0.33611,0.61724,0.27555,0.248,0.29221,0.98582,-0.26385,0.981,0.32118,0.78214,0.1611,0.278,0.2659,1.01539,-0.33417,0.973,0.29917,0.78898,0.17498,0.273,0.25562,0.99824,-0.27918,0.969,0.29237,0.7948,0.11282,0.275,0.26556,0.98962,-0.24413,0.957,0.2991,0.80543,0.13293,0.304,0.57334,0.44874,-0.15822,0.999,0.56906,0.40561,0.15839,0.996,0.76821,0.62219,-0.10852,0.959,0.76391,0.59241,0.19844,0.187,0.94988,0.79256,-0.04005,0.966,0.93393,0.75612,0.29325,0.5,0.98627,0.79392,-0.04079,0.973,0.96752,0.75974,0.29978,0.728,0.91049,0.9256,-0.14866,0.933,0.89862,0.88938,0.20914,0.691
3,0.17423,0.41681,-0.04622,1.0,0.16414,0.38509,-0.08142,1.0,0.16549,0.38119,-0.08149,1.0,0.16689,0.3766,-0.08152,1.0,0.16337,0.38473,-0.02881,1.0,0.16415,0.381,-0.02875,1.0,0.16502,0.37639,-0.02871,1.0,0.18631,0.34935,-0.15099,1.0,0.18445,0.34544,0.07906,1.0,0.19607,0.42237,-0.06493,1.0,0.19568,0.42145,0.00279,1.0,0.28986,0.43866,-0.27191,1.0,0.30862,0.35407,0.26186,0.999,0.32052,0.73012,-0.31259,0.989,0.33636,0.61583,0.27401,0.245,0.29207,0.98537,-0.26061,0.981,0.32111,0.77879,0.16437,0.275,0.26581,1.01385,-0.32958,0.973,0.29879,0.78566,0.17857,0.271,0.25569,0.99768,-0.27474,0.969,0.29231,0.79147,0.11757,0.273,0.26571,0.98948,-0.24092,0.957,0.29911,0.79822,0.13681,0.3,0.57378,0.44949,-0.1577,0.999,0.56975,0.40547,0.15786,0.996,0.76777,0.62197,-0.10726,0.958,0.76355,0.59184,0.19811,0.189,0.94994,0.79111,-0.03653,0.965,0.93428,0.75573,0.29186,0.502,0.98612,0.79192,-0.03698,0.972,0.96764,0.75851,0.29838,0.73,0.91076,0.92477,-0.14419,0.933,0.89885,0.889,0.20886,0.692
4,0.17424,0.41658,-0.04164,1.0,0.16445,0.38486,-0.07719,1.0,0.16579,0.38107,-0.07727,1.0,0.16725,0.37657,-0.07729,1.0,0.16369,0.38431,-0.02449,1.0,0.16448,0.38057,-0.02443,1.0,0.16542,0.37594,-0.02439,1.0,0.18652,0.34951,-0.14855,1.0,0.18486,0.34538,0.08166,1.0,0.1959,0.42223,-0.06101,1.0,0.19541,0.42123,0.0068,1.0,0.28987,0.43998,-0.26742,1.0,0.30943,0.35398,0.26194,0.999,0.32064,0.73068,-0.30683,0.99,0.33653,0.61575,0.27477,0.244,0.29169,0.98537,-0.25818,0.982,0.32088,0.77956,0.1655,0.275,0.26491,1.0129,-0.32687,0.974,0.29798,0.7858,0.17989,0.271,0.25539,0.99723,-0.27165,0.969,0.29196,0.79182,0.11839,0.273,0.26567,0.98947,-0.23834,0.957,0.29884,0.79956,0.13779,0.299,0.57403,0.44993,-0.15781,0.999,0.57044,0.40547,0.15797,0.996,0.76771,0.62194,-0.10645,0.958,0.76357,0.59168,0.19884,0.193,0.95035,0.79102,-0.03656,0.966,0.93518,0.75566,0.29221,0.506,0.98611,0.79197,-0.03703,0.972,0.968,0.75821,0.2988,0.733,0.91075,0.92414,-0.1446,0.933,0.89892,0.88863,0.21012,0.695
5,0.17425,0.41666,-0.03984,1.0,0.16449,0.38495,-0.07586,1.0,0.16584,0.38124,-0.07593,1.0,0.16732,0.37687,-0.07595,1.0,0.16374,0.38434,-0.02305,1.0,0.16452,0.38059,-0.02297,1.0,0.16548,0.37596,-0.02293,1.0,0.18653,0.35002,-0.14842,1.0,0.18492,0.34543,0.08215,1.0,0.19584,0.42229,-0.05957,1.0,0.19524,0.42126,0.00837,1.0,0.28987,0.4408,-0.26732,1.0,0.30977,0.35385,0.26202,0.999,0.32098,0.73129,-0.30597,0.99,0.33688,0.6146,0.27571,0.241,0.29127,0.9854,-0.25677,0.982,0.32069,0.77811,0.16683,0.274,0.26393,1.01245,-0.32538,0.974,0.29723,0.7845,0.18131,0.27,0.25489,0.99697,-0.26979,0.97,0.29161,0.79031,0.12067,0.272,0.26534,0.98945,-0.23684,0.958,0.29856,0.79842,0.13945,0.298,0.57411,0.45018,-0.15785,0.999,0.57083,0.40544,0.15799,0.996,0.76771,0.62192,-0.106,0.959,0.7638,0.59152,0.20024,0.197,0.95043,0.79103,-0.03622,0.966,0.9354,0.7556,0.29349,0.511,0.98599,0.79212,-0.03678,0.973,0.96804,0.75814,0.30015,0.737,0.91057,0.92409,-0.14384,0.934,0.8989,0.88853,0.21395,0.699
6,0.17482,0.4183,-0.0388,1.0,0.16486,0.38804,-0.07493,1.0,0.16615,0.38445,-0.075,1.0,0.16762,0.38036,-0.07503,1.0,0.16406,0.38723,-0.02259,1.0,0.16477,0.38346,-0.02251,1.0,0.16571,0.37896,-0.02247,1.0,0.18665,0.35236,-0.14749,1.0,0.18519,0.34743,0.08058,1.0,0.19638,0.42311,-0.05843,1.0,0.19547,0.42194,0.00904,1.0,0.28986,0.44115,-0.26621,1.0,0.31017,0.35319,0.26214,0.999,0.32121,0.73229,-0.30522,0.99,0.33715,0.61162,0.27641,0.239,0.29077,0.98541,-0.25498,0.982,0.32044,0.7753,0.16827,0.273,0.2635,1.01236,-0.32075,0.975,0.29648,0.78163,0.18248,0.269,0.25455,0.99696,-0.26736,0.97,0.29129,0.78769,0.12318,0.271,0.26494,0.98945,-0.23527,0.959,0.29844,0.79341,0.14137,0.296,0.57411,0.4505,-0.15766,0.999,0.57102,0.4055,0.1578,0.996,0.76768,0.62188,-0.10493,0.958,0.76392,0.59126,0.20005,0.2,0.95045,0.79098,-0.03588,0.966,0.93542,0.75539,0.29317,0.514,0.98592,0.79215,-0.03656,0.973,0.96805,0.75786,0.29967,0.74,0.91049,0.9241,-0.14241,0.934,0.8989,0.88853,0.21308,0.701
7,0.17526,0.41861,-0.03815,1.0,0.16513,0.38878,-0.07435,1.0,0.16638,0.38528,-0.07443,1.0,0.16785,0.38131,-0.07445,1.0,0.16434,0.3879,-0.02162,1.0,0.165,0.38417,-0.02154,1.0,0.16594,0.37973,-0.0215,1.0,0.18683,0.35309,-0.1467,1.0,0.18552,0.34804,0.08075,1.0,0.19672,0.42326,-0.05835,1.0,0.19566,0.42203,0.0099,1.0,0.28985,0.44118,-0.2651,1.0,0.31046,0.3523,0.26197,0.999,0.3213,0.73247,-0.30421,0.99,0.3372,0.60831,0.27696,0.238,0.29064,0.98539,-0.24942,0.983,0.32037,0.77327,0.1703,0.273,0.2634,1.01226,-0.31304,0.975,0.2962,0.77902,0.18489,0.27,0.25447,0.99655,-0.2608,0.971,0.29121,0.78532,0.12518,0.271,0.26492,0.98932,-0.22993,0.959,0.29844,0.78999,0.14329,0.295,0.57411,0.4507,-0.15696,0.999,0.5711,0.40551,0.15711,0.996,0.76764,0.62189,-0.10458,0.959,0.76396,0.59111,0.19718,0.203,0.95043,0.79088,-0.03884,0.966,0.93533,0.75476,0.28384,0.517,0.98588,0.79209,-0.04022,0.973,0.96805,0.75694,0.28976,0.742,0.91048,0.9241,-0.14416,0.934,0.89875,0.88849,0.20725,0.703
8,0.17526,0.42387,-0.03918,1.0,0.16488,0.39468,-0.07538,1.0,0.16605,0.39133,-0.07545,1.0,0.1675,0.38775,-0.07548,1.0,0.16415,0.39367,-0.02219,1.0,0.16478,0.38985,-0.0221,1.0,0.1657,0.38559,-0.02205,1.0,0.18655,0.36005,-0.14871,1.0,0.18534,0.35455,0.08128,1.0,0.19666,0.42778,-0.05963,1.0,0.19558,0.42667,0.009,1.0,0.28914,0.44234,-0.26956,1.0,0.3102,0.35236,0.26369,0.999,0.32605,0.73252,-0.3076,0.991,0.34507,0.60292,0.27754,0.232,0.29063,0.98533,-0.24996,0.983,0.32351,0.76981,0.16636,0.269,0.26316,1.01224,-0.31367,0.975,0.29727,0.77578,0.17937,0.266,0.25424,0.99402,-0.26394,0.971,0.2921,0.7828,0.12224,0.267,0.26491,0.98764,-0.23111,0.959,0.3002,0.78628,0.14004,0.29,0.57341,0.45203,-0.15745,0.999,0.57058,0.40613,0.1576,0.996,0.76725,0.62202,-0.10939,0.959,0.76369,0.59086,0.19758,0.206,0.9504,0.79079,-0.05586,0.967,0.93497,0.75385,0.2839,0.519,0.98586,0.79196,-0.05869,0.973,0.96786,0.75565,0.28983,0.744,0.91046,0.92407,-0.16477,0.935,0.8984,0.88807,0.20803,0.705
9,0.17335,0.433,-0.04006,1.0,0.16308,0.40459,-0.07586,1.0,0.16429,0.40132,-0.07594,1.0,0.16581,0.3978,-0.07597,1.0,0.16224,0.40362,-0.02243,1.0,0.16283,0.39974,-0.02233,1.0,0.16369,0.39526,-0.02228,1.0,0.18543,0.37229,-0.14894,1.0,0.18401,0.36511,0.08167,1.0,0.19456,0.43809,-0.06054,1.0,0.19298,0.43713,0.00835,1.0,0.28803,0.44879,-0.27021,1.0,0.30959,0.35478,0.26577,0.999,0.33187,0.73256,-0.30626,0.99,0.35676,0.60026,0.27791,0.227,0.29231,0.98063,-0.24902,0.983,0.32933,0.77026,0.1641,0.265,0.26337,1.00816,-0.31184,0.975,0.30322,0.77456,0.17601,0.262,0.25492,0.98689,-0.26392,0.971,0.29788,0.78111,0.1218,0.262,0.26665,0.98092,-0.23104,0.959,0.30657,0.78483,0.13873,0.284,0.56915,0.4539,-0.15758,0.999,0.56735,0.40786,0.15773,0.996,0.76618,0.62229,-0.11397,0.958,0.76247,0.59081,0.19756,0.206,0.95036,0.79075,-0.067,0.967,0.93462,0.75323,0.28359,0.52,0.98577,0.79182,-0.07038,0.973,0.96763,0.75464,0.28931,0.744,0.91026,0.92387,-0.1784,0.934,0.8979,0.88731,0.208,0.706
