frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf,kp17_x,kp17_y,kp17_z,kp17_conf,kp18_x,kp18_y,kp18_z,kp18_conf,kp19_x,kp19_y,kp19_z,kp19_conf,kp20_x,kp20_y,kp20_z,kp20_conf,kp21_x,kp21_y,kp21_z,kp21_conf,kp22_x,kp22_y,kp22_z,kp22_conf,kp23_x,kp23_y,kp23_z,kp23_conf,kp24_x,kp24_y,kp24_z,kp24_conf,kp25_x,kp25_y,kp25_z,kp25_conf,kp26_x,kp26_y,kp26_z,kp26_conf,kp27_x,kp27_y,kp27_z,kp27_conf,kp28_x,kp28_y,kp28_z,kp28_conf,kp29_x,kp29_y,kp29_z,kp29_conf,kp30_x,kp30_y,kp30_z,kp30_conf,kp31_x,kp31_y,kp31_z,kp31_conf,kp32_x,kp32_y,kp32_z,kp32_conf
0,0.50804,0.25017,-0.69365,1.0,0.52118,0.23439,-0.66599,1.0,0.52889,0.2336,-0.66601,1.0,0.53413,0.23246,-0.66608,1.0,0.49623,0.23463,-0.67028,1.0,0.4877,0.23423,-0.67031,1.0,0.48111,0.234,-0.67011,1.0,0.54565,0.22935,-0.40259,1.0,0.47312,0.23107,-0.42208,1.0,0.52453,0.26249,-0.58656,1.0,0.49409,0.26335,-0.59241,1.0,0.60554,0.31126,-0.14608,1.0,0.41092,0.30587,-0.17022,1.0,0.65671,0.40636,0.08442,0.995,0.38091,0.40663,0.06449,0.988,0.68482,0.49022,-0.05182,0.987,0.36056,0.49638,-0.02622,0.974,0.69135,0.51816,-0.09599,0.961,0.34673,0.51992,-0.06504,0.94,0.68165,0.51914,-0.18148,0.965,0.34986,0.51953,-0.14216,0.944,0.67512,0.51002,-0.08859,0.957,0.35744,0.51349,-0.05717,0.936,0.55461,0.52816,0.00346,1.0,0.43754,0.52254,-0.00348,1.0,0.60587,0.70827,-0.05983,0.997,0.37368,0.70472,-0.07491,0.998,0.63408,0.87049,0.16116,0.997,0.32181,0.86794,0.13765,0.998,0.61644,0.89345,0.1642,0.948,0.3346,0.8893,0.13965,0.942,0.66818,0.92084,-0.13361,0.994,0.29041,0.92248,-0.16227,0.995
1,0.50713,0.25208,-0.93606,1.0,0.52074,0.2369,-0.90895,1.0,0.52856,0.23592,-0.90893,1.0,0.5338,0.23481,-0.90897,1.0,0.49596,0.23693,-0.91258,1.0,0.48764,0.23609,-0.91271,1.0,0.48092,0.23533,-0.91257,1.0,0.54473,0.23136,-0.60663,1.0,0.4727,0.23198,-0.62523,1.0,0.52319,0.26469,-0.81182,1.0,0.49224,0.26479,-0.81722,1.0,0.60028,0.31127,-0.26832,1.0,0.4072,0.30595,-0.30491,1.0,0.64073,0.40641,0.06421,0.995,0.37228,0.40614,0.01475,0.987,0.66055,0.48141,-0.02433,0.987,0.36125,0.49079,-0.02195,0.975,0.66787,0.50398,-0.0423,0.957,0.35374,0.5143,-0.04263,0.941,0.65961,0.50377,-0.13915,0.962,0.36026,0.51196,-0.12012,0.946,0.65258,0.49607,-0.06196,0.953,0.36525,0.5051,-0.04811,0.937,0.54961,0.52791,0.00261,1.0,0.43315,0.52307,-0.00272,1.0,0.60508,0.70822,-0.06558,0.998,0.37121,0.70487,-0.08182,0.998,0.63408,0.86944,0.16116,0.997,0.32182,0.86826,0.15725,0.998,0.61606,0.89389,0.16393,0.95,0.3343,0.89233,0.16098,0.945,0.66803,0.92086,-0.14309,0.994,0.28996,0.92138,-0.14556,0.995
2,0.50489,0.2534,-0.88993,1.0,0.519,0.23902,-0.85858,1.0,0.52707,0.23812,-0.85856,1.0,0.53273,0.23709,-0.85865,1.0,0.49452,0.23867,-0.86096,1.0,0.48677,0.23765,-0.86108,1.0,0.47949,0.23658,-0.86097,1.0,0.54251,0.23426,-0.55399,1.0,0.4714,0.23334,-0.56662,1.0,0.52016,0.26645,-0.7662,1.0,0.48885,0.26595,-0.76989,1.0,0.59224,0.3128,-0.22375,1.0,0.40031,0.30818,-0.26892,1.0,0.62799,0.41005,0.14254,0.992,0.35689,0.40623,0.00659,0.987,0.63794,0.46556,0.10363,0.977,0.366,0.48262,-0.06154,0.973,0.63777,0.48847,0.08787,0.936,0.36972,0.50517,-0.08965,0.937,0.6304,0.48678,-0.00228,0.942,0.37898,0.49928,-0.15784,0.941,0.6246,0.48142,0.06918,0.93,0.3801,0.49251,-0.08385,0.932,0.54495,0.52923,0.00288,1.0,0.42766,0.52676,-0.00298,1.0,0.60508,0.70838,-0.06701,0.997,0.36301,0.70604,-0.10135,0.998,0.63399,0.86856,0.2148,0.997,0.3218,0.86827,0.18365,0.998,0.61551,0.894,0.22326,0.951,0.33389,0.89299,0.19348,0.947,0.66809,0.92089,-0.09043,0.994,0.2908,0.92108,-0.11989,0.995
3,0.50132,0.2559,-0.66731,1.0,0.5157,0.24263,-0.62958,1.0,0.52359,0.24211,-0.6297,1.0,0.52999,0.24146,-0.62985,1.0,0.49233,0.24166,-0.62936,1.0,0.48508,0.24061,-0.6294,1.0,0.47767,0.2395,-0.62938,1.0,0.53871,0.24025,-0.33834,1.0,0.47035,0.2373,-0.33883,1.0,0.51548,0.269,-0.55341,1.0,0.48517,0.26824,-0.55376,1.0,0.58683,0.32055,-0.12103,1.0,0.39404,0.31638,-0.12019,1.0,0.61795,0.43343,-0.26722,0.987,0.34149,0.41778,-0.21334,0.984,0.61165,0.43542,-0.84896,0.967,0.37203,0.47043,-0.70977,0.967,0.60582,0.43393,-0.97387,0.923,0.38591,0.48291,-0.81696,0.93,0.59935,0.4222,-0.99958,0.929,0.39334,0.47237,-0.84917,0.934,0.59641,0.42179,-0.87378,0.912,0.39109,0.46781,-0.7315,0.921,0.53818,0.53247,0.00192,1.0,0.42186,0.53091,-0.00198,1.0,0.60525,0.7085,-0.12637,0.997,0.35247,0.70683,-0.13668,0.998,0.63393,0.86761,0.18552,0.997,0.32182,0.86827,0.17417,0.998,0.61507,0.89378,0.20371,0.95,0.33393,0.8933,0.18362,0.947,0.6682,0.92088,-0.13037,0.993,0.29081,0.92082,-0.12837,0.995
4,0.49972,0.25871,-0.58907,1.0,0.51424,0.24527,-0.55266,1.0,0.52217,0.24479,-0.5528,1.0,0.52858,0.24421,-0.55294,1.0,0.49108,0.24423,-0.55306,1.0,0.48403,0.24317,-0.55308,1.0,0.47666,0.24207,-0.553,1.0,0.53707,0.24295,-0.26613,1.0,0.46935,0.23969,-0.26828,1.0,0.51374,0.27167,-0.47619,1.0,0.48371,0.27085,-0.47703,1.0,0.58538,0.32193,-0.06008,1.0,0.39201,0.31903,-0.04845,1.0,0.61402,0.43198,-0.18767,0.98,0.33876,0.42114,-0.14667,0.981,0.60913,0.44074,-0.7302,0.954,0.37744,0.4691,-0.62146,0.962,0.60255,0.45063,-0.85293,0.909,0.39276,0.48017,-0.72687,0.922,0.59636,0.44335,-0.89426,0.915,0.39959,0.47014,-0.76352,0.926,0.59322,0.44024,-0.76062,0.893,0.39709,0.46565,-0.64449,0.911,0.53663,0.53247,-0.0007,1.0,0.42012,0.53149,0.00075,1.0,0.60525,0.70835,-0.12885,0.997,0.34919,0.70724,-0.13884,0.998,0.63365,0.86707,0.1468,0.997,0.32191,0.86817,0.15638,0.998,0.61435,0.89369,0.1574,0.949,0.33396,0.89333,0.16928,0.947,0.66813,0.92087,-0.17032,0.993,0.29087,0.9206,-0.14856,0.994
5,0.49477,0.26432,-0.65278,1.0,0.51011,0.25022,-0.59748,1.0,0.51816,0.24995,-0.59761,1.0,0.52552,0.24972,-0.59795,1.0,0.48701,0.24928,-0.57295,1.0,0.4802,0.24836,-0.57317,1.0,0.47266,0.24753,-0.57372,1.0,0.5344,0.24947,-0.30166,1.0,0.46726,0.24616,-0.33637,1.0,0.50935,0.27827,-0.54809,1.0,0.47945,0.27704,-0.53501,1.0,0.58476,0.33366,-0.17531,1.0,0.39084,0.32541,-0.10619,1.0,0.6135,0.44781,-0.36755,0.981,0.32702,0.43136,-0.30267,0.979,0.5494,0.44504,-0.88499,0.954,0.3904,0.46102,-0.7986,0.956,0.51761,0.44768,-1.00198,0.908,0.41026,0.46462,-0.90585,0.914,0.51298,0.43824,-1.00893,0.914,0.4166,0.45394,-0.92425,0.917,0.52029,0.43675,-0.89734,0.889,0.41323,0.45206,-0.81414,0.897,0.53191,0.54111,-0.00214,1.0,0.41572,0.53702,0.00212,1.0,0.60659,0.70846,-0.12184,0.997,0.3412,0.70722,-0.12827,0.998,0.63338,0.86704,0.14229,0.997,0.32193,0.86811,0.17345,0.998,0.61362,0.89372,0.15093,0.948,0.33474,0.89378,0.18527,0.947,0.66828,0.92087,-0.17587,0.993,0.28981,0.92005,-0.12599,0.994
6,0.49239,0.28212,-0.80373,1.0,0.50714,0.26815,-0.7659,1.0,0.51509,0.26812,-0.76597,1.0,0.5225,0.2678,-0.76622,1.0,0.48401,0.26729,-0.76154,1.0,0.47698,0.26687,-0.76167,1.0,0.46931,0.26623,-0.76169,1.0,0.53078,0.26752,-0.47856,1.0,0.46453,0.26526,-0.47418,1.0,0.50685,0.29458,-0.69203,1.0,0.47725,0.29353,-0.68904,1.0,0.58367,0.3511,-0.27356,1.0,0.39072,0.34023,-0.25095,1.0,0.61375,0.46619,-0.52768,0.982,0.32234,0.45105,-0.47806,0.979,0.54278,0.44668,-1.08097,0.955,0.39544,0.45728,-1.01167,0.955,0.51101,0.44098,-1.20404,0.908,0.41836,0.45163,-1.12716,0.911,0.50363,0.42899,-1.19693,0.914,0.42376,0.44104,-1.12958,0.912,0.51166,0.43065,-1.08993,0.885,0.42034,0.44167,-1.02235,0.889,0.52804,0.55055,-0.00213,1.0,0.41199,0.54565,0.00209,1.0,0.6122,0.70972,-0.22318,0.997,0.33374,0.70865,-0.21091,0.998,0.63287,0.86705,0.08211,0.997,0.32193,0.8681,0.12319,0.998,0.61265,0.89406,0.09454,0.949,0.33652,0.8948,0.13969,0.948,0.66894,0.92062,-0.23078,0.992,0.28845,0.92004,-0.17356,0.993
7,0.49168,0.302,-0.79308,1.0,0.50561,0.28758,-0.75566,1.0,0.51355,0.28708,-0.75572,1.0,0.52064,0.28673,-0.75595,1.0,0.48205,0.28723,-0.75465,1.0,0.47452,0.28632,-0.75477,1.0,0.46655,0.28572,-0.75473,1.0,0.52849,0.28769,-0.47269,1.0,0.46056,0.28651,-0.46941,1.0,0.50684,0.31427,-0.68235,1.0,0.47643,0.31263,-0.68147,1.0,0.58224,0.36967,-0.27358,1.0,0.39018,0.35976,-0.26369,1.0,0.60904,0.4821,-0.57305,0.983,0.32891,0.47304,-0.55479,0.979,0.53535,0.44919,-1.11474,0.956,0.4143,0.44434,-1.0972,0.956,0.50752,0.4375,-1.23272,0.908,0.43974,0.42543,-1.2122,0.912,0.50019,0.42164,-1.21422,0.912,0.44395,0.41347,-1.1987,0.913,0.50683,0.42549,-1.11987,0.879,0.44027,0.41881,-1.10255,0.887,0.5254,0.56254,-0.0041,1.0,0.40985,0.55811,0.00405,1.0,0.61775,0.71248,-0.30579,0.996,0.32373,0.71463,-0.30312,0.998,0.63202,0.86899,0.02164,0.996,0.32178,0.86829,0.06016,0.998,0.61058,0.89556,0.03551,0.949,0.33804,0.89598,0.07995,0.949,0.66904,0.92054,-0.27908,0.992,0.28601,0.92006,-0.21679,0.993
8,0.48906,0.32452,-0.81477,1.0,0.50255,0.31052,-0.77938,1.0,0.51024,0.30989,-0.77946,1.0,0.51748,0.3092,-0.7797,1.0,0.47903,0.31035,-0.77812,1.0,0.4711,0.30969,-0.77823,1.0,0.46365,0.30909,-0.77822,1.0,0.52513,0.31023,-0.50062,1.0,0.45721,0.30989,-0.4933,1.0,0.50422,0.33768,-0.7048,1.0,0.47404,0.3362,-0.70316,1.0,0.57905,0.38977,-0.29564,1.0,0.38892,0.38037,-0.28806,1.0,0.60242,0.50118,-0.59604,0.984,0.33221,0.49244,-0.5703,0.98,0.52345,0.45098,-1.1395,0.958,0.4144,0.44706,-1.11308,0.958,0.49767,0.4372,-1.25722,0.912,0.43742,0.44349,-1.22586,0.914,0.49483,0.42281,-1.23599,0.916,0.44291,0.43112,-1.21738,0.914,0.50244,0.42781,-1.14297,0.882,0.43979,0.43507,-1.12056,0.886,0.52281,0.57539,-0.00397,1.0,0.40822,0.57041,0.00391,1.0,0.62309,0.71543,-0.36116,0.996,0.31755,0.72041,-0.39479,0.998,0.63149,0.86916,-0.00915,0.996,0.32179,0.86835,-0.00376,0.998,0.60895,0.89569,0.00743,0.951,0.34011,0.89676,0.01914,0.951,0.66904,0.92037,-0.29764,0.991,0.28441,0.92008,-0.27285,0.993
9,0.48697,0.32458,-0.84523,1.0,0.50133,0.31002,-0.80956,1.0,0.50918,0.30991,-0.80963,1.0,0.51638,0.30959,-0.80986,1.0,0.47727,0.30898,-0.80718,1.0,0.46901,0.3084,-0.80731,1.0,0.46233,0.30792,-0.8073,1.0,0.52474,0.31027,-0.53574,1.0,0.45596,0.30841,-0.52454,1.0,0.50201,0.33906,-0.73805,1.0,0.47169,0.33713,-0.73532,1.0,0.57782,0.39332,-0.33165,1.0,0.38632,0.38365,-0.32034,1.0,0.6019,0.50619,-0.63062,0.985,0.33418,0.4987,-0.60637,0.981,0.51718,0.45188,-1.17263,0.961,0.41954,0.45303,-1.14178,0.96,0.49238,0.43721,-1.2899,0.916,0.43983,0.44277,-1.25356,0.918,0.48976,0.4232,-1.2684,0.919,0.44518,0.43031,-1.23786,0.917,0.49648,0.42761,-1.17546,0.883,0.44282,0.43497,-1.14543,0.887,0.52264,0.57576,-0.00352,1.0,0.40686,0.57139,0.00342,1.0,0.62499,0.71595,-0.40066,0.996,0.31664,0.72222,-0.43095,0.998,0.63105,0.86926,-0.04147,0.996,0.32169,0.86837,-0.03716,0.998,0.60696,0.89621,-0.02392,0.952,0.34079,0.89687,-0.01464,0.953,0.67081,0.91961,-0.32658,0.99,0.28391,0.92008,-0.31052,0.992
