frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
0,212.79736,252.83902,0.0,1.0,207.98796,230.68668,0.0,1.0,223.03844,247.29059,0.0,1.0,246.47194,193.35565,0.0,1.0,270.56796,226.08127,0.0,1.0,312.27798,206.08539,0.0,1.0,351.5806,252.84126,0.0,1.0,344.33182,408.00925,0.0,1.0,384.48688,455.52347,0.0,1.0,275.40952,570.09332,0.0,1.0,324.87271,611.33081,0.0,1.0,592.18414,246.32097,0.0,1.0,610.13281,294.11157,0.0,1.0,790.49481,305.05994,0.0,1.0,812.73926,348.63077,0.0,1.0,1068.20483,430.22675,0.0,1.0,1053.26538,452.12885,0.0,1.0
1,211.51701,255.36221,0.0,1.0,207.30841,233.46866,0.0,1.0,221.34003,248.85913,0.0,1.0,246.00049,196.81099,0.0,1.0,266.72452,227.36804,0.0,1.0,312.01086,211.45775,0.0,1.0,346.36786,255.54042,0.0,1.0,340.19345,415.06693,0.0,1.0,375.84253,459.44916,0.0,1.0,274.6192,572.9967,0.0,1.0,323.96628,608.67059,0.0,1.0,601.57434,242.93033,0.0,1.0,615.888,289.97089,0.0,1.0,805.61023,310.96982,0.0,1.0,821.08447,351.97537,0.0,1.0,1078.72229,433.27045,0.0,1.0,1057.63367,452.073,0.0,1.0
2,211.21063,255.88011,0.0,1.0,206.9868,233.88776,0.0,1.0,220.97644,249.21327,0.0,1.0,245.76245,197.07112,0.0,1.0,266.40759,227.54442,0.0,1.0,312.05527,212.20172,0.0,1.0,346.58743,255.70447,0.0,1.0,339.83777,416.78168,0.0,1.0,375.71515,459.83588,0.0,1.0,274.89001,572.83356,0.0,1.0,323.40424,607.97833,0.0,1.0,603.45593,242.53488,0.0,1.0,617.90076,289.37729,0.0,1.0,807.95203,312.77225,0.0,1.0,823.28748,353.42184,0.0,1.0,1081.30701,433.23172,0.0,1.0,1059.16296,451.73135,0.0,1.0
3,210.30528,256.185,0.0,1.0,206.99387,235.6949,0.0,1.0,220.42973,249.42238,0.0,1.0,245.43672,201.16621,0.0,1.0,264.35663,228.22261,0.0,1.0,309.86093,213.68268,0.0,1.0,342.55228,255.81252,0.0,1.0,338.45639,413.45694,0.0,1.0,373.69287,457.52518,0.0,1.0,273.23438,569.06763,0.0,1.0,322.1987,606.97461,0.0,1.0,603.80237,241.44594,0.0,1.0,616.70953,288.10406,0.0,1.0,818.03943,320.38571,0.0,1.0,831.5401,360.40048,0.0,1.0,1084.38428,435.15677,0.0,1.0,1066.33594,454.56281,0.0,1.0
4,211.27768,255.84155,0.0,1.0,207.41635,235.22235,0.0,1.0,221.3634,249.56635,0.0,1.0,245.15488,200.62039,0.0,1.0,265.22543,228.90889,0.0,1.0,310.03479,212.9639,0.0,1.0,342.5611,256.62213,0.0,1.0,339.80127,411.95987,0.0,1.0,372.81268,458.02933,0.0,1.0,272.76273,567.50104,0.0,1.0,322.52991,605.59747,0.0,1.0,602.00751,242.31453,0.0,1.0,614.80249,289.59488,0.0,1.0,812.25018,314.87149,0.0,1.0,825.09808,355.91223,0.0,1.0,1083.15564,434.64264,0.0,1.0,1062.7749,454.40363,0.0,1.0
5,210.21465,255.19872,0.0,1.0,206.28134,234.52049,0.0,1.0,219.6105,249.23589,0.0,1.0,244.7075,201.34792,0.0,1.0,262.79077,230.65077,0.0,1.0,310.14871,215.19815,0.0,1.0,341.17227,259.03772,0.0,1.0,340.98557,415.52069,0.0,1.0,372.21396,460.53174,0.0,1.0,272.14606,566.27325,0.0,1.0,323.2731,600.10693,0.0,1.0,602.42212,240.60164,0.0,1.0,613.7663,288.18295,0.0,1.0,817.23273,314.68375,0.0,1.0,828.57489,357.19403,0.0,1.0,1087.23376,434.68915,0.0,1.0,1062.61743,456.09882,0.0,1.0
6,211.12898,255.76363,0.0,1.0,207.51085,235.13466,0.0,1.0,220.25395,250.11432,0.0,1.0,246.868,202.08896,0.0,1.0,263.33957,231.8259,0.0,1.0,310.46732,214.1506,0.0,1.0,341.86493,258.05319,0.0,1.0,341.79904,416.99643,0.0,1.0,373.95081,460.59229,0.0,1.0,271.11972,571.66644,0.0,1.0,323.8454,603.20123,0.0,1.0,599.36249,241.89908,0.0,1.0,611.04071,290.26566,0.0,1.0,819.44873,314.4577,0.0,1.0,835.29395,360.46906,0.0,1.0,1087.37549,436.37662,0.0,1.0,1069.91211,463.33804,0.0,1.0
7,213.43199,257.36139,0.0,1.0,209.42459,236.7662,0.0,1.0,222.25467,251.8999,0.0,1.0,247.43591,202.79085,0.0,1.0,264.06393,232.95409,0.0,1.0,310.91077,213.37492,0.0,1.0,340.95325,258.22925,0.0,1.0,341.92444,415.53549,0.0,1.0,372.37927,460.50302,0.0,1.0,269.93335,568.55768,0.0,1.0,323.7236,598.86475,0.0,1.0,599.3573,242.2923,0.0,1.0,610.44403,291.16367,0.0,1.0,817.98975,312.16321,0.0,1.0,834.38788,359.22086,0.0,1.0,1085.13171,432.23993,0.0,1.0,1069.29602,460.18539,0.0,1.0
8,211.16496,268.72711,0.0,1.0,207.99928,249.30048,0.0,1.0,219.74246,262.90292,0.0,1.0,245.53654,213.98103,0.0,1.0,257.99295,240.58076,0.0,1.0,304.92389,216.02577,0.0,1.0,333.32083,255.06599,0.0,1.0,349.23288,410.15894,0.0,1.0,375.33881,445.42139,0.0,1.0,285.99176,582.33856,0.0,1.0,332.73172,585.85901,0.0,1.0,583.29272,236.6265,0.0,1.0,593.09467,282.54507,0.0,1.0,812.93805,309.38895,0.0,1.0,826.82422,352.06592,0.0,1.0,1076.68652,431.44531,0.0,1.0,1061.94836,454.22214,0.0,1.0
9,207.51366,265.67047,0.0,1.0,203.71417,245.16479,0.0,1.0,214.48619,260.27634,0.0,1.0,242.11597,212.11627,0.0,1.0,252.58679,242.66092,0.0,1.0,308.37408,221.68918,0.0,1.0,330.88522,265.80295,0.0,1.0,353.85349,417.76141,0.0,1.0,375.83453,460.36624,0.0,1.0,291.65735,582.60992,0.0,1.0,335.85358,583.79028,0.0,1.0,591.04517,244.14636,0.0,1.0,597.65033,291.43497,0.0,1.0,816.53351,309.86526,0.0,1.0,830.89795,352.13394,0.0,1.0,1074.15955,429.65689,0.0,1.0,1059.65088,447.66821,0.0,1.0
10,199.91916,267.22058,0.0,1.0,195.96365,247.50819,0.0,1.0,207.78084,263.58206,0.0,1.0,234.14799,215.18565,0.0,1.0,246.13716,246.87854,0.0,1.0,303.85172,218.75407,0.0,1.0,319.72641,267.34283,0.0,1.0,363.52075,402.05634,0.0,1.0,373.98959,453.48312,0.0,1.0,295.70908,582.13721,0.0,1.0,332.0535,577.36768,0.0,1.0,573.71503,250.44559,0.0,1.0,575.94366,298.33563,0.0,1.0,796.20001,300.61243,0.0,1.0,805.23981,340.24408,0.0,1.0,1068.19519,432.85641,0.0,1.0,1053.54871,443.01917,0.0,1.0
11,192.01505,299.77957,0.0,1.0,185.5401,280.18671,0.0,1.0,196.27979,297.34125,0.0,1.0,221.78346,241.90584,0.0,1.0,228.15443,278.40454,0.0,1.0,296.02185,235.7558,0.0,1.0,306.76736,286.59399,0.0,1.0,360.42358,402.48297,0.0,1.0,365.66165,457.81757,0.0,1.0,303.76666,565.60699,0.0,1.0,342.37677,566.15796,0.0,1.0,577.81427,243.689,0.0,1.0,576.05109,292.81793,0.0,1.0,817.59473,312.89749,0.0,1.0,824.88153,352.17789,0.0,1.0,1073.4541,425.71826,0.0,1.0,1049.78967,431.36658,0.0,1.0
