frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
0,255.73193,175.79759,0.0,1.0,266.327,165.62013,0.0,1.0,247.45226,165.1931,0.0,1.0,285.20755,164.67894,0.0,1.0,237.76819,164.10045,0.0,1.0,305.80933,216.76718,0.0,1.0,222.27174,216.37843,0.0,1.0,338.69608,283.97858,0.0,1.0,196.71394,289.33792,0.0,1.0,353.97852,345.21674,0.0,1.0,185.51146,359.46167,0.0,1.0,289.3811,372.98239,0.0,1.0,227.89935,371.20331,0.0,1.0,314.40546,504.21875,0.0,1.0,199.74974,501.15024,0.0,1.0,326.94461,627.79706,0.0,1.0,170.32063,627.72607,0.0,1.0
1,256.32532,177.36568,0.0,1.0,266.49802,167.62033,0.0,1.0,248.33102,167.13103,0.0,1.0,282.90164,166.88655,0.0,1.0,237.17752,165.8998,0.0,1.0,303.03201,218.58484,0.0,1.0,216.6624,217.45999,0.0,1.0,333.33536,289.39291,0.0,1.0,189.38867,287.25534,0.0,1.0,336.05661,351.7308,0.0,1.0,187.8658,350.03217,0.0,1.0,286.42694,375.05875,0.0,1.0,223.05992,374.10886,0.0,1.0,312.59286,506.82184,0.0,1.0,197.05243,507.21951,0.0,1.0,326.65869,628.38141,0.0,1.0,172.68517,632.77179,0.0,1.0
2,256.87244,180.5789,0.0,1.0,266.73407,170.98668,0.0,1.0,248.99362,169.81697,0.0,1.0,281.33533,170.83444,0.0,1.0,236.56282,168.05803,0.0,1.0,300.45279,223.06122,0.0,1.0,211.54724,219.69266,0.0,1.0,329.27026,294.07797,0.0,1.0,183.18112,293.55255,0.0,1.0,327.00378,339.71332,0.0,1.0,195.68359,349.34494,0.0,1.0,284.90857,379.15167,0.0,1.0,219.33917,377.74838,0.0,1.0,314.21387,506.71161,0.0,1.0,194.17786,505.90042,0.0,1.0,327.25519,629.2691,0.0,1.0,170.13097,631.64642,0.0,1.0
3,255.26363,181.91176,0.0,1.0,266.47641,171.90102,0.0,1.0,246.43785,170.01511,0.0,1.0,283.13708,174.36157,0.0,1.0,233.76198,169.53352,0.0,1.0,298.86588,231.90805,0.0,1.0,207.09137,222.57159,0.0,1.0,318.04935,310.19623,0.0,1.0,177.07567,308.00803,0.0,1.0,313.27774,302.40747,0.0,1.0,207.74675,335.74713,0.0,1.0,285.05328,383.70227,0.0,1.0,216.04161,380.51239,0.0,1.0,315.45352,510.07956,0.0,1.0,189.98589,505.72983,0.0,1.0,328.83026,631.45337,0.0,1.0,169.07365,630.91046,0.0,1.0
4,255.41774,181.97227,0.0,1.0,266.67307,171.88062,0.0,1.0,246.53593,170.17754,0.0,1.0,283.23642,173.91954,0.0,1.0,233.56995,169.56488,0.0,1.0,298.9342,229.856,0.0,1.0,206.41394,223.18864,0.0,1.0,317.76535,305.73297,0.0,1.0,177.38077,308.41992,0.0,1.0,313.75885,304.32205,0.0,1.0,209.0101,335.09787,0.0,1.0,285.20251,382.50732,0.0,1.0,215.80074,380.57785,0.0,1.0,315.73499,509.34573,0.0,1.0,189.61382,506.77689,0.0,1.0,328.3569,630.88995,0.0,1.0,169.3414,631.76575,0.0,1.0
5,257.31693,191.9566,0.0,1.0,267.68896,181.44388,0.0,1.0,248.70851,180.375,0.0,1.0,282.35474,182.57823,0.0,1.0,235.69846,180.00554,0.0,1.0,304.89774,237.30945,0.0,1.0,203.09483,232.36461,0.0,1.0,319.09131,322.1965,0.0,1.0,174.77373,319.66245,0.0,1.0,263.62894,305.31171,0.0,1.0,222.08739,323.13351,0.0,1.0,286.08398,388.84686,0.0,1.0,209.56949,386.98413,0.0,1.0,318.65961,509.84256,0.0,1.0,183.61761,509.7562,0.0,1.0,328.12463,630.99158,0.0,1.0,167.57617,634.59363,0.0,1.0
6,255.69975,199.06134,0.0,1.0,266.00558,188.84384,0.0,1.0,247.30719,187.47302,0.0,1.0,279.28482,190.99846,0.0,1.0,232.99028,187.52284,0.0,1.0,301.59531,244.55612,0.0,1.0,198.75111,241.21217,0.0,1.0,323.56723,327.79691,0.0,1.0,170.66951,329.19775,0.0,1.0,276.04434,307.35245,0.0,1.0,213.65376,322.27042,0.0,1.0,285.50369,391.82385,0.0,1.0,208.28368,391.04599,0.0,1.0,319.43976,510.39877,0.0,1.0,178.40471,512.2041,0.0,1.0,331.19672,629.315,0.0,1.0,164.27698,635.23169,0.0,1.0
7,253.62912,217.61789,0.0,1.0,264.2308,207.07271,0.0,1.0,245.36792,205.98633,0.0,1.0,279.42218,205.38077,0.0,1.0,232.59027,202.74564,0.0,1.0,302.81546,254.62852,0.0,1.0,199.41614,251.74683,0.0,1.0,322.85681,342.71664,0.0,1.0,170.98235,342.01651,0.0,1.0,275.41458,319.35373,0.0,1.0,211.87737,326.3848,0.0,1.0,285.5694,396.73389,0.0,1.0,207.96086,396.07098,0.0,1.0,319.06033,512.34723,0.0,1.0,175.68532,514.79755,0.0,1.0,331.85059,629.06244,0.0,1.0,162.74942,636.39838,0.0,1.0
8,247.02853,228.16191,0.0,1.0,257.86624,218.01677,0.0,1.0,240.07942,216.22552,0.0,1.0,274.50928,219.50288,0.0,1.0,230.98758,214.60089,0.0,1.0,300.9509,270.74637,0.0,1.0,200.78419,265.66681,0.0,1.0,317.01801,356.19675,0.0,1.0,179.87994,354.93512,0.0,1.0,272.88702,334.98688,0.0,1.0,211.91414,341.95987,0.0,1.0,283.15356,415.1925,0.0,1.0,207.28656,412.51349,0.0,1.0,319.89899,515.42468,0.0,1.0,178.18388,511.58267,0.0,1.0,331.23993,630.31146,0.0,1.0,163.55232,630.71246,0.0,1.0
9,251.45251,229.06143,0.0,1.0,262.24252,218.78053,0.0,1.0,243.688,217.66884,0.0,1.0,278.15158,219.88513,0.0,1.0,232.14035,217.22957,0.0,1.0,301.15289,270.84866,0.0,1.0,201.61598,267.43198,0.0,1.0,321.38016,361.67297,0.0,1.0,175.37308,358.39874,0.0,1.0,268.29739,331.20615,0.0,1.0,211.77356,335.98563,0.0,1.0,283.63986,403.87772,0.0,1.0,207.75462,402.67853,0.0,1.0,320.27982,513.40338,0.0,1.0,175.5573,516.19891,0.0,1.0,334.24918,629.8728,0.0,1.0,160.63982,638.9397,0.0,1.0
